Date,Open,High,Low,Close,Adj Close,Volume
2022-10-18,252.000000,256.600006,249.399994,254.399994,254.399994,22129580
2022-10-19,251.600006,252.600006,243.600006,244.000000,244.000000,20957367
2022-10-20,237.000000,239.199997,231.000000,232.399994,232.399994,49410926
2022-10-21,232.000000,236.399994,230.199997,232.800003,232.800003,26545936
2022-10-24,224.000000,226.000000,205.199997,206.199997,206.199997,85067932
2022-10-25,202.000000,215.600006,198.600006,206.399994,206.399994,73016944
2022-10-26,204.800003,218.399994,202.199997,211.600006,211.600006,50349233
2022-10-27,221.199997,222.000000,211.800003,213.199997,213.199997,42717088
2022-10-28,210.000000,211.399994,200.000000,200.800003,200.800003,40832142
2022-10-31,201.800003,216.600006,199.000000,205.600006,205.600006,49512538
2022-11-01,207.800003,231.800003,207.800003,227.399994,227.399994,77842280
2022-11-02,225.600006,232.000000,220.000000,230.600006,230.600006,35145104
2022-11-03,226.000000,230.199997,220.199997,221.399994,221.399994,30634922
2022-11-04,224.399994,247.399994,224.399994,238.600006,238.600006,67156433
2022-11-07,233.800003,249.600006,231.600006,245.399994,245.399994,43980248
2022-11-08,243.399994,252.000000,242.800003,245.800003,245.800003,23541345
2022-11-09,244.000000,248.399994,233.800003,236.800003,236.800003,31658705
2022-11-10,229.000000,234.399994,229.000000,231.399994,231.399994,23257794
2022-11-11,253.000000,260.799988,245.399994,258.399994,258.399994,53013204
2022-11-14,269.200012,276.600006,257.200012,260.600006,260.600006,48396603
2022-11-15,262.000000,288.200012,258.200012,288.000000,288.000000,63102526
2022-11-16,285.600006,296.799988,280.000000,294.399994,294.399994,61785142
2022-11-17,298.600006,299.399994,281.200012,292.000000,292.000000,69820587
2022-11-18,300.000000,302.799988,286.399994,287.799988,287.799988,44759245
2022-11-21,282.200012,286.600006,274.600006,283.200012,283.200012,31308860
2022-11-22,280.200012,286.399994,274.600006,277.399994,277.399994,28461436
2022-11-23,277.799988,284.799988,277.399994,282.000000,282.000000,23380469
2022-11-24,286.399994,289.399994,279.000000,280.399994,280.399994,17174522
2022-11-25,277.000000,277.799988,268.399994,273.000000,273.000000,31317632
2022-11-28,259.000000,271.399994,259.000000,270.000000,270.000000,33498674
2022-11-29,276.399994,286.000000,273.799988,285.799988,285.799988,33140777
2022-11-30,283.600006,292.600006,280.000000,287.200012,287.200012,46633723
2022-12-01,298.000000,303.799988,292.600006,294.399994,294.399994,45550089
2022-12-02,296.000000,299.600006,291.600006,296.000000,296.000000,25087186
2022-12-05,310.000000,317.000000,302.399994,314.000000,314.000000,59827141
2022-12-06,307.799988,313.799988,307.200012,311.799988,311.799988,29059056
2022-12-07,309.799988,318.600006,299.000000,300.200012,300.200012,41107551
2022-12-08,304.200012,318.000000,304.200012,317.399994,317.399994,34092432
2022-12-09,318.799988,326.600006,314.399994,325.600006,325.600006,40400176
2022-12-12,318.399994,324.799988,315.399994,317.600006,317.600006,20509991
2022-12-13,316.000000,325.000000,315.600006,318.399994,318.399994,20313254
2022-12-14,322.200012,327.799988,318.399994,325.000000,325.000000,24238494
2022-12-15,325.000000,326.600006,316.000000,317.600006,317.600006,18962052
2022-12-16,314.000000,321.399994,311.600006,316.799988,316.799988,25128603
2022-12-19,320.399994,328.799988,316.799988,320.399994,320.399994,24897178
2022-12-20,318.799988,318.799988,306.399994,309.399994,309.399994,29056421
2022-12-21,311.000000,313.200012,308.000000,311.000000,311.000000,15323874
2022-12-22,319.000000,325.799988,316.399994,323.799988,323.799988,24251750
2022-12-23,318.000000,326.000000,317.200012,320.200012,320.200012,15502697
2022-12-28,325.000000,329.600006,321.799988,326.200012,326.200012,24188394
2022-12-29,323.000000,336.000000,323.000000,335.200012,335.200012,30087456
